⚠️  PRODUCTION — using live keys and real funds


Fleet buy: epsilon (15 wallets)
  Buy 0xb23c6e17fe82f958ade869d31055c445f76c5c43
  Amount: 0.042 ETH, Slippage: 500 bps
  Mode: drip over 15m (900000ms), 5 intervals
  Jiggle: on
  Gas reserve: 0.0075 ETH (15 × 0.0005)
  Effective buy: 0.0345 ETH

✅ Completed 75 trades:
  wallet #25: complete — in=377239191025776 out=17478527811343456533189
  wallet #19: complete — in=523735591761856 out=24244931724654955107352
  wallet #27: complete — in=559665733648279 out=25881041872959517857992
  wallet #18: complete — in=561854826323432 out=25954069092643400683649
  wallet #21: complete — in=428187459982498 out=19760512370889325905600
  wallet #23: complete — in=453201521858365 out=20897007655041072012881
  wallet #20: complete — in=466065917528834 out=21471025135781467929277
  wallet #22: complete — in=498587672406208 out=22947782253008682483874
  wallet #17: complete — in=477701385809026 out=21965684923840331054525
  wallet #30: complete — in=457282281984715 out=21007736262882244096617
  wallet #28: complete — in=499571297993038 out=22929255337502842604759
  wallet #29: complete — in=535840512939504 out=24571375267793198795692
  wallet #31: complete — in=463109643078518 out=21213943389383225125824
  wallet #26: complete — in=416845617297922 out=19078460019272207722163
  wallet #24: complete — in=431962705814908 out=19757590300410862531118
  wallet #27: complete — in=498708807855385 out=22789994039585204182725
  wallet #19: complete — in=508727748858497 out=23225231878128190398963
  wallet #21: complete — in=374262386158310 out=17088630431047811109004
  wallet #25: complete — in=416709902549232 out=18993581181363678603194
  wallet #29: complete — in=472238826055169 out=21506133280007456451940
  wallet #30: complete — in=448075395604371 out=20406187336511006457527
  wallet #23: complete — in=482076007722359 out=21915002791115994042706
  wallet #20: complete — in=454643419206999 out=20649287711454468602673
  wallet #28: complete — in=447898992735457 out=20343097271029916043625
  wallet #31: complete — in=474325579688963 out=21505416421129963959694
  wallet #26: complete — in=432226463400063 out=19579605841460609119699
  wallet #17: complete — in=456090333523477 out=20642984687970733068449
  wallet #22: complete — in=473989747256695 out=21433955922094240087996
  wallet #24: complete — in=492609855903948 out=22255286277796004160116
  wallet #18: complete — in=561178073013737 out=25327440280709718000691
  wallet #26: complete — in=399326781698446 out=17969235767504967520456
  wallet #28: complete — in=446119400252916 out=20035169413063127675972
  wallet #18: complete — in=477176550179053 out=21410860703516348534001
  wallet #29: complete — in=544545270962002 out=24432098513565072497791
  wallet #20: complete — in=462837951240723 out=20706462251552598107837
  wallet #25: complete — in=405803908822703 out=18139690158722506819395
  wallet #31: complete — in=413344566510913 out=18462196973640485855520
  wallet #24: complete — in=434089435851488 out=19323958310380085081034
  wallet #30: complete — in=453524124588613 out=20171910138764437230488
  wallet #17: complete — in=493971458234782 out=21955065257318010190403
  wallet #22: complete — in=489874489323221 out=21773056903823741181755
  wallet #19: complete — in=480290096029998 out=21307133695289746138397
  wallet #23: complete — in=473278936632408 out=20976972585178279333734
  wallet #27: complete — in=513971472244847 out=22759099454837062108799
  wallet #21: complete — in=407938148238452 out=18065683722874371788363
  wallet #18: complete — in=483921378180496 out=21371896525316309273231
  wallet #31: complete — in=458467086215037 out=20229547172294962510847
  wallet #21: complete — in=404008864796077 out=17811967639810104723841
  wallet #19: complete — in=453226269092414 out=19967239489570588196950
  wallet #24: complete — in=493315039423881 out=21693936269755954491706
  wallet #29: complete — in=511516076771630 out=22472843095612757860030
  wallet #23: complete — in=517988206907901 out=22734920583504567784187
  wallet #30: complete — in=425055286463330 out=18434019159797922835395
  wallet #28: complete — in=425471636033158 out=18437334271891298123868
  wallet #26: complete — in=372347153789581 out=16123156974487390477661
  wallet #22: complete — in=491468246166453 out=21225717307575685772114
  wallet #17: complete — in=426875427688656 out=18420187139295803348082
  wallet #27: complete — in=513129974018094 out=22122668715431900901754
  wallet #20: complete — in=412699392007719 out=17777358242297741381351
  wallet #25: complete — in=375019811432922 out=16127856116762781550107
  wallet #25: complete — in=415814600856306 out=17869018014923421532869
  wallet #24: complete — in=415677107435704 out=17849417538064007263518
  wallet #28: complete — in=453861776914059 out=19455769058421786523453
  wallet #31: complete — in=435437217242516 out=18650455178927525807556
  wallet #17: complete — in=411946327645006 out=17341075457717893908940
  wallet #20: complete — in=415285957407891 out=17465107728079837813147
  wallet #29: complete — in=459132273882111 out=19243685363838048111968
  wallet #26: complete — in=378832800568229 out=15866041944279280497042
  wallet #30: complete — in=464220503606477 out=19427369305341110248353
  wallet #21: complete — in=414455515122411 out=17330953035664024522347
  wallet #27: complete — in=494307248027735 out=20652982068313397967240
  wallet #22: complete — in=452890204956940 out=18906043112588923195003
  wallet #23: complete — in=503042975732678 out=20980923152516359342615
  wallet #18: complete — in=518544196219957 out=21577891595596707864611
  wallet #19: complete — in=461335955598525 out=19179770718908397173546
